,TIPLOC,TOC_New
625,CSGT,NT (93.85%); TP (6.15%)
626,CSTL,NT (100.0%)
627,CSTR,AW (100.0%)
628,CTMSLNK,TL (100.0%)
629,CTNG,SN (100.0%)
630,CTNM,NT (100.0%)
631,CTTGHM,HT (5.19%); NT (94.81%)
632,CUDNGTN,NT (100.0%)
633,CUFFLEY,GN (100.0%)
634,CULHAM,GW (100.0%)
635,CULRAIN,SR (100.0%)
636,CUPAR,SR (100.0%)
637,CURRIEH,SR (100.0%)
638,CUSTMHS,XR (100.0%)
639,CWDNBTH,SR (100.0%)
640,CWMBRAN,AW (100.0%)
641,CXTN,SE (100.0%)
642,CYNGHRD,AW (100.0%)
643,DAISYH,NT (100.0%)
644,DALGETY,SR (100.0%)
645,DALMUIR,CS (2.04%); SR (97.96%)
646,DALRY,SR (100.0%)
647,DALS,LO (100.0%)
648,DALSKLD,LO (100.0%)
649,DALSTON,NT (100.0%)
650,DALTON,NT (100.0%)
651,DALWHIN,CS (27.32%); SR (72.68%)
652,DANBY,NT (100.0%)
653,DANESCT,AW (100.0%)
654,DANZEY,LM (100.0%)
655,DARNALL,NT (100.0%)
656,DARSHAM,LE (100.0%)
657,DARTFD,SE (59.09%); TL (40.91%)
658,DARWEN,NT (100.0%)
659,DATCHET,SW (100.0%)
660,DAVNPRT,NT (100.0%)
661,DAWLISH,GW (97.84%); XC (2.16%)
662,DAWLSHW,GW (99.64%); ZZ (0.36%)
663,DAWSHLM,SR (100.0%)
664,DEAL,SE (100.0%)
665,DEAN,SW (100.0%)
666,DEGANWY,AW (100.0%)
667,DEIGHTN,NT (12.97%); TP (87.03%)
668,DELAMER,NT (100.0%)
669,DENHAM,CH (100.0%)
670,DENHMGC,CH (100.0%)
671,DENMRKH,LO (38.9%); SE (34.92%); TL (26.18%)
672,DENT,NT (100.0%)
673,DEPDENE,GW (100.0%)
674,DEPTFD,SE (59.51%); TL (40.49%)
675,DERBYRD,LE (100.0%)
676,DEVNPRT,GW (100.0%)
677,DGLROAD,AW (100.0%)
678,DGNHMDC,CC (100.0%)
679,DIDCOTP,GW (100.0%)
680,DIGBY,GW (100.0%)
681,DILTONM,GW (100.0%)
682,DINASP,AW (100.0%)
683,DINASR,AW (100.0%)
684,DINGWAL,SR (100.0%)
685,DINSDAL,NT (100.0%)
686,DISLEY,NT (100.0%)
687,DISS,LE (100.0%)
688,DLMALLY,SR (100.0%)
689,DLMRNOK,SR (100.0%)
690,DLMY,SR (100.0%)
691,DLREOCH,SR (100.0%)
692,DLTN,GR (41.28%); NT (19.04%); TP (18.81%); WR (0.06%); XC (20.81%)
693,DLTNCGT,GR (100.0%)
694,DLTNRIM,GR (100.0%)
695,DLWYDLN,AW (100.0%)
696,DMBRTNC,CS (2.02%); SR (97.98%)
697,DMBRTNE,SR (100.0%)
698,DNDL,NT (100.0%)
699,DNFRMLE,SR (100.0%)
700,DNFRMQM,SR (100.0%)
701,DNLP,SR (100.0%)
702,DNROBIN,SR (100.0%)
703,DNSN,NT (100.0%)
704,DNSRSTP,GW (100.0%)
705,DNTG,NT (100.0%)
706,DNTON,NT (100.0%)
